year,season,NDWI_Otsu_km2,RandomForest_km2,SVM_km2
2016,dry,1441.2300530425973,2277.5534335107104,2260.0295715541474
2016,wet,3129.316215540706,2274.5757458293206,2346.204302483773
2017,dry,2039.7970706407991,2092.7967704050825,1969.8016096193223
2017,wet,3264.5649368555933,2273.341992650552,2600.663258444695
2018,dry,2450.8747561551463,1865.5306999664356,1917.5811999042066
2018,wet,405.23244498663547,83.11467241235351,97.40822484204102
2019,dry,1640.1450579157688,2279.8584949951305,2250.0824926091395
2019,wet,3396.0510001050907,2017.8774892113677,2191.053053595689
2020,dry,1793.397021644088,2430.6209567382625,2145.8569938382097
2020,wet,4289.299946389125,2166.2137673246184,2396.7886462097795
